tar,exp,run,E,rho,mae,rmse,Jacobian
Dn,2,30,3,0.8931390641959474,0.32899472038305844,0.43510344153828356,0.6968582407436792
Pa,2,31,8,0.935559317128829,0.24202645974931228,0.3056582786953307,-0.11151306976315363
Dn,2,31,2,0.8894968808680047,0.3485642359948643,0.44623062925527707,0.8122776381397966
Pa,2,32,3,0.9443772962800994,0.2564463365047117,0.31887717641534863,-0.2671034542043271
Dn,2,32,2,0.9247540558134117,0.30167131582474305,0.37381752826110554,0.8517578980100223
Pa,2,33,8,0.9476946680192614,0.2404374202774725,0.28556573814826,-0.12609997245807072
Dn,2,33,2,0.9044435570329354,0.32472718879246065,0.4155270329351197,0.8569305086114148
Pa,2,34,8,0.9426291732299056,0.23651652599871983,0.2986187483686935,-0.26154423883121186
Dn,2,34,2,0.9153525686911747,0.31916402011364275,0.39491552396945345,0.754663230636434
Pa,2,35,8,0.9467076124316532,0.21013589594820462,0.2795792303805602,-0.17128321766040647
Dn,2,35,3,0.8964066974595766,0.31364837947115637,0.42823968818636504,0.7071372833564482
Pa,2,36,8,0.951858652898249,0.20373152802534497,0.2678258837875274,-0.18645883965290963
Dn,2,36,3,0.9131877957092875,0.30217530707971274,0.3945355736708139,0.7928085249818454
Pa,2,37,8,0.95682050193288,0.2003249736698894,0.25422764672381826,-0.2088710309569931
Dn,2,37,3,0.9163064323280108,0.2843821313978701,0.38749343282343124,0.7718885727961349
Pa,2,38,8,0.9517678849352528,0.2185028689561314,0.27521594561198753,-0.16049595107482229
Dn,2,38,3,0.9106665905965978,0.3025563284954316,0.4017541667396794,0.7884138522136672
Pa,2,39,8,0.9476407234160314,0.22561039513558104,0.2818152049991436,-0.17437195452111706
Dn,2,39,2,0.8963251567072343,0.3278447862583791,0.43490543823734507,0.8376188566082434
Pa,2,40,2,0.9198284111349583,0.29089933040745464,0.3831917086395929,-0.48828643457480386
Dn,2,40,3,0.9146866763888007,0.30266503382658966,0.3906231280715183,0.7573164311368218
Pa,2,41,2,0.9070201608757102,0.31757466635781473,0.41097308991497244,-0.4345303945634965
Dn,2,41,3,0.9198183823158408,0.2976055121344824,0.38016752425763245,0.7570748191673496
Pa,2,42,8,0.9540648192290293,0.20327413463319302,0.26333515512623923,-0.2458568514903763
Dn,2,42,3,0.9175102699700032,0.30274119163929175,0.3849172724193861,0.862885143305684
Pa,2,43,8,0.9552389299156855,0.21372764250092746,0.2585018631987145,-0.1318847721443308
Dn,2,43,3,0.9084474182325105,0.2946556920877311,0.40715782198262157,0.823098146553734
Pa,2,44,8,0.9561668453130052,0.21294370437848445,0.2590227846290546,-0.2372381756763167
Dn,2,44,3,0.90275396870903,0.3136155193296649,0.4166581176676688,0.7102769591923553
Pa,2,45,8,0.9616406859229036,0.19324660591295978,0.24059293019516476,-0.19050797703236572
Dn,2,45,2,0.913913918301179,0.3049570784243677,0.39661195925021847,0.8470602770626652
Pa,2,46,8,0.9565593197396548,0.2091933164667814,0.2560523118545636,-0.2172963304371453
Dn,2,46,3,0.9057351252067206,0.31722598234015126,0.41058467553636707,0.7193149137835478
Pa,2,47,8,0.9468116577956973,0.21628575652739462,0.2804502245316537,-0.183767702228478
Dn,2,47,2,0.9155369363995952,0.30989654858904936,0.39369173240414856,0.7128360822908195
Pa,2,48,8,0.9559603174107953,0.2067313305527784,0.259709550102714,-0.2525839866562218
Dn,2,48,3,0.9098420365685848,0.3051299283662456,0.4021252397865486,0.7816404322316767
Pa,2,49,8,0.9435426239214436,0.22080522523478657,0.2959589293052983,-0.09735068471130807
Dn,2,49,3,0.9037389832525388,0.31890128362364306,0.413811420578634,0.7574872407843659
